dataset,condition,bg_size,n_defaults_in_bg,default_rate,shap_cv,shap_sra
Taiwan,random,50,1.0,0.01,0.8548384876542549,32.67127526779296
Taiwan,random,100,1.0,0.01,0.8495024004231714,33.05921809842044
Taiwan,random,200,1.0,0.01,0.8467019140331442,33.14186048898717
Taiwan,random,500,2.0,0.01,0.8501291359596455,33.101527746586186
Taiwan,random,1000,7.0,0.01,0.8601815692990912,32.817828401188244
Taiwan,random,full,,0.01,0.8594803581101789,33.026631583768115
Taiwan,balanced,50,25.0,0.01,0.8071658227067305,33.881296167025994
Taiwan,balanced,100,50.0,0.01,0.7953132041993322,33.97277269471796
Taiwan,balanced,200,63.0,0.01,0.8039360179369635,33.98944549720842
Taiwan,balanced,500,63.0,0.01,0.8163843763208517,34.25580562712305
Taiwan,balanced,1000,63.0,0.01,0.840075033062861,33.37519698994421
Taiwan,balanced,full,,0.01,0.8484959234564525,32.99273953641402
