ratio,method,SRA1,SRA2,SRA3,SRA4,SRA5,CV_med,CSI,VSI
1,LIME,5.4156405219050505,5.25198152595364,5.25198152595364,5.25198152595364,5.25198152595364,0.7457263015530486,0.9583220338296218,22.09083333333333
1,SHAP,5.081659066046187,4.895047617478398,4.843229121506548,4.770873892205293,4.770873892205293,2.558869882364558,,
2,LIME,5.466835557840622,5.344013218682972,5.344013218682972,5.344013218682972,5.344013218682972,0.7045419078130808,0.958302915340045,19.330317460317463
2,SHAP,5.58945096478874,5.4131852201571,5.366968302172255,5.366968302172255,5.366968302172255,2.156410637901402,,
5,LIME,5.660005277603545,5.499561104401121,5.499561104401121,5.499561104401121,5.499561104401121,0.711953555367243,0.9582855040918679,21.41051587301587
5,SHAP,5.5783603622202,5.438023042989699,5.438023042989699,5.438023042989699,5.363619378623916,1.734326303919314,,
10,LIME,5.274827775646071,5.23484557355585,5.23484557355585,5.147577416469,5.147577416469,0.6673140435627569,0.9581883299608922,25.676626984126987
10,SHAP,5.713802351904115,5.607997436008919,5.607997436008919,5.607997436008919,5.543567560583167,1.306505390297899,,
15,LIME,4.972273294871158,5.143005416181768,5.0617679537927724,5.00967698216412,5.00967698216412,0.6797845816367369,0.9581167927174365,27.053214285714283
15,SHAP,5.644922466768993,5.6008867423809106,5.6008867423809106,5.527788950535889,5.527788950535889,1.1010279734512238,,
20,LIME,4.946264775060065,5.210781119593854,5.075594026115049,5.075594026115049,5.075594026115049,0.6616494527928445,0.9580244280744457,28.260039682539684
20,SHAP,5.65246703215554,5.458329216675071,5.4039728432538405,5.4039728432538405,5.4039728432538405,0.9807489909318798,,
30,LIME,4.357285449919861,4.999483005168693,4.9016245076189255,4.823783586079093,4.771428933244212,0.6830454045519168,0.9578558446046062,29.174920634920635
30,SHAP,5.570373570933103,5.5499290461895185,5.451224860713895,5.4074127862631,5.4074127862631,0.974062816686256,,
40,LIME,5.6173461568672645,5.4168530150663425,5.176008254184528,5.122612422599812,5.070348481818911,0.6341763133133831,0.9577551362579001,27.81027777777778
40,SHAP,5.5766148722253535,5.574854425321143,5.529781512214211,5.529781512214211,5.4587089511661695,0.9679191230485269,,
45,LIME,5.811959261394655,5.739763830657037,5.630208856051713,5.39229213683368,5.39229213683368,0.6869341745547822,0.9576951380952415,27.639246031746033
45,SHAP,5.686051811600432,5.686051811600432,5.686051811600432,5.591546310465766,5.591546310465766,0.9401656845987834,,
50,LIME,5.211418100838773,5.028897992353793,4.976400762938511,4.857551649974905,4.857551649974905,0.62751784768289,0.9576590804994328,27.16349206349206
50,SHAP,5.58863670732215,5.557816258207894,5.557816258207894,5.557816258207894,5.557816258207894,0.9059583475104888,,
